X,Y,Z
0.0,0.0,1.0
0.002,0.063,1.0
0.008,0.127,1.0
0.018,0.189,1.0
0.032,0.251,1.0
0.05,0.312,1.0
0.072,0.372,1.0
0.097,0.43,1.0
0.126,0.486,1.0
0.159,0.541,1.0
0.195,0.593,1.0
0.234,0.643,1.0
0.276,0.69,1.0
0.321,0.735,1.0
0.369,0.776,1.0
0.42,0.815,1.0
0.473,0.85,1.0
0.528,0.881,1.0
0.585,0.91,1.0
0.643,0.934,1.0
0.703,0.955,1.0
0.764,0.972,1.0
0.826,0.985,1.0
0.889,0.994,1.0
0.952,0.999,1.0
1.016,1.0,1.0
1.079,0.997,1.0
1.142,0.99,1.0
1.205,0.979,1.0
1.266,0.964,1.0
1.327,0.945,1.0
1.386,0.922,1.0
1.444,0.896,1.0
1.5,0.866,1.0
1.554,0.833,1.0
1.606,0.796,1.0
1.655,0.756,1.0
1.701,0.713,1.0
1.745,0.667,1.0
1.786,0.618,1.0
1.824,0.567,1.0
1.858,0.514,1.0
1.889,0.458,1.0
1.916,0.401,1.0
1.94,0.342,1.0
1.959,0.282,1.0
1.975,0.22,1.0
1.987,0.158,1.0
1.995,0.095,1.0
1.999,0.032,1.0
1.999,-0.032,1.0
1.995,-0.095,1.0
1.987,-0.158,1.0
1.975,-0.22,1.0
1.959,-0.282,1.0
1.94,-0.342,1.0
1.916,-0.401,1.0
1.889,-0.458,1.0
1.858,-0.514,1.0
1.824,-0.567,1.0
1.786,-0.618,1.0
1.745,-0.667,1.0
1.701,-0.713,1.0
1.655,-0.756,1.0
1.606,-0.796,1.0
1.554,-0.833,1.0
1.5,-0.866,1.0
1.444,-0.896,1.0
1.386,-0.922,1.0
1.327,-0.945,1.0
1.266,-0.964,1.0
1.205,-0.979,1.0
1.142,-0.99,1.0
1.079,-0.997,1.0
1.016,-1.0,1.0
0.952,-0.999,1.0
0.889,-0.994,1.0
0.826,-0.985,1.0
0.764,-0.972,1.0
0.703,-0.955,1.0
0.643,-0.934,1.0
0.585,-0.91,1.0
0.528,-0.881,1.0
0.473,-0.85,1.0
0.42,-0.815,1.0
0.369,-0.776,1.0
0.321,-0.735,1.0
0.276,-0.69,1.0
0.234,-0.643,1.0
0.195,-0.593,1.0
0.159,-0.541,1.0
0.126,-0.486,1.0
0.097,-0.43,1.0
0.072,-0.372,1.0
0.05,-0.312,1.0
0.032,-0.251,1.0
0.018,-0.189,1.0
0.008,-0.127,1.0
0.002,-0.063,1.0
0.0,-0.0,1.0
