X,Y,Z
0.0,0.0,1.0
0.375,0.0,1.0
0.75,0.0,1.0
1.0,0.0,1.0
1.082,0.0,1.007
1.162,0.0,1.027
1.237,0.0,1.06
1.306,0.0,1.104
1.366,0.0,1.16
1.417,0.0,1.224
1.457,0.0,1.297
1.484,0.0,1.374
1.498,0.0,1.455
1.499,0.0,1.537
1.486,0.0,1.618
1.46,0.0,1.696
1.421,0.0,1.769
1.372,0.0,1.834
1.312,0.0,1.891
1.244,0.0,1.937
1.169,0.0,1.971
1.09,0.0,1.992
1.008,0.0,2.0
1.0,0.0,2.0
0.913,0.0,1.992
0.829,0.0,1.97
0.75,0.0,1.933
0.679,0.0,1.883
0.617,0.0,1.821
0.567,0.0,1.75
0.53,0.0,1.671
0.508,0.0,1.587
0.5,0.0,1.5
0.5,0.0,1.4
0.5,0.0,1.1
0.5,0.0,0.8
0.5,0.0,0.5
