X,Y,Z
0.0,0.0,1.0
0.095,0.063,1.0
0.19,0.126,1.0
0.284,0.186,1.0
0.377,0.243,1.0
0.468,0.296,1.0
0.557,0.345,1.0
0.645,0.388,1.0
0.729,0.425,1.0
0.811,0.455,1.0
0.889,0.477,1.0
0.964,0.492,1.0
1.035,0.499,1.0
1.102,0.498,1.0
1.164,0.489,1.0
1.222,0.473,1.0
1.275,0.448,1.0
1.322,0.416,1.0
1.364,0.378,1.0
1.401,0.333,1.0
1.432,0.284,1.0
1.458,0.229,1.0
1.477,0.171,1.0
1.491,0.11,1.0
1.498,0.048,1.0
1.5,-0.016,1.0
1.495,-0.079,1.0
1.485,-0.141,1.0
1.468,-0.2,1.0
1.446,-0.257,1.0
1.418,-0.309,1.0
1.384,-0.356,1.0
1.344,-0.398,1.0
1.299,-0.433,1.0
1.249,-0.461,1.0
1.194,-0.482,1.0
1.134,-0.495,1.0
1.069,-0.5,1.0
1.0,-0.497,1.0
0.927,-0.486,1.0
0.851,-0.467,1.0
0.771,-0.441,1.0
0.687,-0.407,1.0
0.601,-0.367,1.0
0.513,-0.321,1.0
0.423,-0.27,1.0
0.33,-0.215,1.0
0.237,-0.156,1.0
0.143,-0.095,1.0
0.048,-0.032,1.0
-0.048,0.032,1.0
-0.143,0.095,1.0
-0.237,0.156,1.0
-0.33,0.215,1.0
-0.423,0.27,1.0
-0.513,0.321,1.0
-0.601,0.367,1.0
-0.687,0.407,1.0
-0.771,0.441,1.0
-0.851,0.467,1.0
-0.927,0.486,1.0
-1.0,0.497,1.0
-1.069,0.5,1.0
-1.134,0.495,1.0
-1.194,0.482,1.0
-1.249,0.461,1.0
-1.299,0.433,1.0
-1.344,0.398,1.0
-1.384,0.356,1.0
-1.418,0.309,1.0
-1.446,0.257,1.0
-1.468,0.2,1.0
-1.485,0.141,1.0
-1.495,0.079,1.0
-1.5,0.016,1.0
-1.498,-0.048,1.0
-1.491,-0.11,1.0
-1.477,-0.171,1.0
-1.458,-0.229,1.0
-1.432,-0.284,1.0
-1.401,-0.333,1.0
-1.364,-0.378,1.0
-1.322,-0.416,1.0
-1.275,-0.448,1.0
-1.222,-0.473,1.0
-1.164,-0.489,1.0
-1.102,-0.498,1.0
-1.035,-0.499,1.0
-0.964,-0.492,1.0
-0.889,-0.477,1.0
-0.811,-0.455,1.0
-0.729,-0.425,1.0
-0.645,-0.388,1.0
-0.557,-0.345,1.0
-0.468,-0.296,1.0
-0.377,-0.243,1.0
-0.284,-0.186,1.0
-0.19,-0.126,1.0
-0.095,-0.063,1.0
-0.0,-0.0,1.0
