X,Y,Z
0.0,0.0,1.0
0.095,0.063,1.002
0.19,0.126,1.008
0.284,0.186,1.018
0.377,0.243,1.032
0.468,0.296,1.049
0.557,0.345,1.069
0.645,0.388,1.092
0.729,0.425,1.118
0.811,0.455,1.146
0.889,0.477,1.176
0.964,0.492,1.207
1.035,0.499,1.238
1.102,0.498,1.27
1.164,0.489,1.301
1.222,0.473,1.332
1.275,0.448,1.361
1.322,0.416,1.388
1.364,0.378,1.414
1.401,0.333,1.436
1.432,0.284,1.456
1.458,0.229,1.472
1.477,0.171,1.485
1.491,0.11,1.494
1.498,0.048,1.499
1.5,-0.016,1.5
1.495,-0.079,1.497
1.485,-0.141,1.49
1.468,-0.2,1.479
1.446,-0.257,1.464
1.418,-0.309,1.447
1.384,-0.356,1.425
1.344,-0.398,1.401
1.299,-0.433,1.375
1.249,-0.461,1.347
1.194,-0.482,1.317
1.134,-0.495,1.286
1.069,-0.5,1.254
1.0,-0.497,1.222
0.927,-0.486,1.191
0.851,-0.467,1.161
0.771,-0.441,1.132
0.687,-0.407,1.105
0.601,-0.367,1.08
0.513,-0.321,1.058
0.423,-0.27,1.04
0.33,-0.215,1.024
0.237,-0.156,1.012
0.143,-0.095,1.005
0.048,-0.032,1.001
-0.048,0.032,1.001
-0.143,0.095,1.005
-0.237,0.156,1.012
-0.33,0.215,1.024
-0.423,0.27,1.04
-0.513,0.321,1.058
-0.601,0.367,1.08
-0.687,0.407,1.105
-0.771,0.441,1.132
-0.851,0.467,1.161
-0.927,0.486,1.191
-1.0,0.497,1.222
-1.069,0.5,1.254
-1.134,0.495,1.286
-1.194,0.482,1.317
-1.249,0.461,1.347
-1.299,0.433,1.375
-1.344,0.398,1.401
-1.384,0.356,1.425
-1.418,0.309,1.447
-1.446,0.257,1.464
-1.468,0.2,1.479
-1.485,0.141,1.49
-1.495,0.079,1.497
-1.5,0.016,1.5
-1.498,-0.048,1.499
-1.491,-0.11,1.494
-1.477,-0.171,1.485
-1.458,-0.229,1.472
-1.432,-0.284,1.456
-1.401,-0.333,1.436
-1.364,-0.378,1.414
-1.322,-0.416,1.388
-1.275,-0.448,1.361
-1.222,-0.473,1.332
-1.164,-0.489,1.301
-1.102,-0.498,1.27
-1.035,-0.499,1.238
-0.964,-0.492,1.207
-0.889,-0.477,1.176
-0.811,-0.455,1.146
-0.729,-0.425,1.118
-0.645,-0.388,1.092
-0.557,-0.345,1.069
-0.468,-0.296,1.049
-0.377,-0.243,1.032
-0.284,-0.186,1.018
-0.19,-0.126,1.008
-0.095,-0.063,1.002
-0.0,-0.0,1.0
