X,Y,Z
0.0,0.0,1.0
0.128,0.004,1.0
0.254,0.016,1.0
0.375,0.037,1.0
0.491,0.064,1.0
0.598,0.099,1.0
0.696,0.141,1.0
0.782,0.188,1.0
0.855,0.241,1.0
0.914,0.298,1.0
0.959,0.358,1.0
0.987,0.42,1.0
0.999,0.484,1.0
0.995,0.548,1.0
0.975,0.611,1.0
0.938,0.673,1.0
0.887,0.731,1.0
0.82,0.786,1.0
0.74,0.836,1.0
0.648,0.881,1.0
0.546,0.919,1.0
0.434,0.95,1.0
0.315,0.975,1.0
0.191,0.991,1.0
0.064,0.999,1.0
-0.064,0.999,1.0
-0.191,0.991,1.0
-0.315,0.975,1.0
-0.434,0.95,1.0
-0.546,0.919,1.0
-0.648,0.881,1.0
-0.74,0.836,1.0
-0.82,0.786,1.0
-0.887,0.731,1.0
-0.938,0.673,1.0
-0.975,0.611,1.0
-0.995,0.548,1.0
-0.999,0.484,1.0
-0.987,0.42,1.0
-0.959,0.358,1.0
-0.914,0.298,1.0
-0.855,0.241,1.0
-0.782,0.188,1.0
-0.696,0.141,1.0
-0.598,0.099,1.0
-0.491,0.064,1.0
-0.375,0.037,1.0
-0.254,0.016,1.0
-0.128,0.004,1.0
-0.0,0.0,1.0
