X,Y,Z
0.0,0.0,1.0
-0.004,0.095,1.008
-0.018,0.188,1.015
-0.04,0.28,1.023
-0.071,0.37,1.03
-0.11,0.456,1.038
-0.157,0.538,1.045
-0.212,0.616,1.053
-0.274,0.687,1.06
-0.342,0.753,1.068
-0.416,0.812,1.075
-0.495,0.863,1.083
-0.579,0.907,1.09
-0.667,0.943,1.098
-0.758,0.97,1.106
-0.851,0.989,1.113
-0.945,0.998,1.121
-1.039,0.999,1.128
-1.134,0.991,1.136
-1.227,0.974,1.143
-1.318,0.948,1.151
-1.406,0.914,1.158
-1.491,0.871,1.166
-1.571,0.821,1.173
-1.646,0.763,1.181
-1.715,0.699,1.188
-1.778,0.628,1.196
-1.834,0.551,1.204
-1.883,0.47,1.211
-1.923,0.385,1.219
-1.955,0.295,1.226
-1.979,0.204,1.234
-1.994,0.11,1.241
-2.0,0.016,1.249
-1.997,-0.079,1.256
-1.985,-0.173,1.264
-1.964,-0.265,1.271
-1.935,-0.355,1.279
-1.897,-0.442,1.286
-1.851,-0.525,1.294
-1.798,-0.603,1.302
-1.737,-0.676,1.309
-1.67,-0.742,1.317
-1.597,-0.802,1.324
-1.518,-0.855,1.332
-1.435,-0.9,1.339
-1.348,-0.938,1.347
-1.258,-0.966,1.354
-1.165,-0.986,1.362
-1.071,-0.997,1.369
-0.976,-1.0,1.377
-0.882,-0.993,1.384
-0.788,-0.977,1.392
-0.697,-0.953,1.399
-0.608,-0.92,1.407
-0.523,-0.879,1.415
-0.442,-0.83,1.422
-0.366,-0.773,1.43
-0.296,-0.71,1.437
-0.232,-0.64,1.445
-0.175,-0.565,1.452
-0.125,-0.484,1.46
-0.083,-0.399,1.467
-0.049,-0.311,1.475
-0.024,-0.219,1.482
-0.008,-0.126,1.49
-0.0,-0.032,1.497
-0.002,0.063,1.505
-0.012,0.157,1.513
-0.032,0.25,1.52
-0.06,0.34,1.528
-0.096,0.428,1.535
-0.141,0.511,1.543
-0.193,0.59,1.55
-0.252,0.664,1.558
-0.318,0.732,1.565
-0.391,0.793,1.573
-0.468,0.847,1.58
-0.551,0.894,1.588
-0.637,0.932,1.595
-0.727,0.962,1.603
-0.819,0.984,1.611
-0.913,0.996,1.618
-1.008,1.0,1.626
-1.102,0.995,1.633
-1.196,0.981,1.641
-1.288,0.958,1.648
-1.377,0.926,1.656
-1.463,0.886,1.663
-1.545,0.839,1.671
-1.622,0.783,1.678
-1.693,0.721,1.686
-1.758,0.652,1.693
-1.816,0.578,1.701
-1.867,0.498,1.709
-1.911,0.413,1.716
-1.946,0.325,1.724
-1.972,0.235,1.731
-1.99,0.142,1.739
-1.999,0.047,1.746
-1.999,-0.047,1.754
-1.99,-0.142,1.761
-1.972,-0.235,1.769
-1.946,-0.325,1.776
-1.911,-0.413,1.784
-1.867,-0.498,1.791
-1.816,-0.578,1.799
-1.758,-0.652,1.807
-1.693,-0.721,1.814
-1.622,-0.783,1.822
-1.545,-0.839,1.829
-1.463,-0.886,1.837
-1.377,-0.926,1.844
-1.288,-0.958,1.852
-1.196,-0.981,1.859
-1.102,-0.995,1.867
-1.008,-1.0,1.874
-0.913,-0.996,1.882
-0.819,-0.984,1.889
-0.727,-0.962,1.897
-0.637,-0.932,1.905
-0.551,-0.894,1.912
-0.468,-0.847,1.92
-0.391,-0.793,1.927
-0.318,-0.732,1.935
-0.252,-0.664,1.942
-0.193,-0.59,1.95
-0.141,-0.511,1.957
-0.096,-0.428,1.965
-0.06,-0.34,1.972
-0.032,-0.25,1.98
-0.012,-0.157,1.987
-0.002,-0.063,1.995
-0.0,0.032,2.003
-0.008,0.126,2.01
-0.024,0.219,2.018
-0.049,0.311,2.025
-0.083,0.399,2.033
-0.125,0.484,2.04
-0.175,0.565,2.048
-0.232,0.64,2.055
-0.296,0.71,2.063
-0.366,0.773,2.07
-0.442,0.83,2.078
-0.523,0.879,2.085
-0.608,0.92,2.093
-0.697,0.953,2.101
-0.788,0.977,2.108
-0.882,0.993,2.116
-0.976,1.0,2.123
-1.071,0.997,2.131
-1.165,0.986,2.138
-1.258,0.966,2.146
-1.348,0.938,2.153
-1.435,0.9,2.161
-1.518,0.855,2.168
-1.597,0.802,2.176
-1.67,0.742,2.183
-1.737,0.676,2.191
-1.798,0.603,2.198
-1.851,0.525,2.206
-1.897,0.442,2.214
-1.935,0.355,2.221
-1.964,0.265,2.229
-1.985,0.173,2.236
-1.997,0.079,2.244
-2.0,-0.016,2.251
-1.994,-0.11,2.259
-1.979,-0.204,2.266
-1.955,-0.295,2.274
-1.923,-0.385,2.281
-1.883,-0.47,2.289
-1.834,-0.551,2.296
-1.778,-0.628,2.304
-1.715,-0.699,2.312
-1.646,-0.763,2.319
-1.571,-0.821,2.327
-1.491,-0.871,2.334
-1.406,-0.914,2.342
-1.318,-0.948,2.349
-1.227,-0.974,2.357
-1.134,-0.991,2.364
-1.039,-0.999,2.372
-0.945,-0.998,2.379
-0.851,-0.989,2.387
-0.758,-0.97,2.394
-0.667,-0.943,2.402
-0.579,-0.907,2.41
-0.495,-0.863,2.417
-0.416,-0.812,2.425
-0.342,-0.753,2.432
-0.274,-0.687,2.44
-0.212,-0.616,2.447
-0.157,-0.538,2.455
-0.11,-0.456,2.462
-0.071,-0.37,2.47
-0.04,-0.28,2.477
-0.018,-0.188,2.485
-0.004,-0.095,2.492
0.0,-0.0,2.5
