X,Y,Z
0.0,0.0,1.0
0.051,0.0,1.0
0.103,0.0,1.0
0.154,0.0,1.0
0.205,0.0,1.0
0.256,0.0,1.0
0.308,0.0,1.0
0.359,0.0,1.0
0.41,0.0,1.0
0.462,0.0,1.0
0.513,0.0,1.0
0.564,0.0,1.0
0.615,0.0,1.0
0.667,0.0,1.0
0.718,0.0,1.0
0.769,0.0,1.0
0.821,0.0,1.0
0.872,0.0,1.0
0.923,0.0,1.0
0.974,0.0,1.0
1.026,0.0,1.0
1.077,0.0,1.0
1.128,0.0,1.0
1.179,0.0,1.0
1.231,0.0,1.0
1.282,0.0,1.0
1.333,0.0,1.0
1.385,0.0,1.0
1.436,0.0,1.0
1.487,0.0,1.0
1.538,0.0,1.0
1.59,0.0,1.0
1.641,0.0,1.0
1.692,0.0,1.0
1.744,0.0,1.0
1.795,0.0,1.0
1.846,0.0,1.0
1.897,0.0,1.0
1.949,0.0,1.0
2.0,0.0,1.0
