X,Y,Z
0.0,0.0,1.0
0.041,0.041,1.0
0.082,0.082,1.0
0.122,0.122,1.0
0.163,0.163,1.0
0.204,0.204,1.0
0.245,0.245,1.0
0.286,0.286,1.0
0.327,0.327,1.0
0.367,0.367,1.0
0.408,0.408,1.0
0.449,0.449,1.0
0.49,0.49,1.0
0.531,0.531,1.0
0.571,0.571,1.0
0.612,0.612,1.0
0.653,0.653,1.0
0.694,0.694,1.0
0.735,0.735,1.0
0.776,0.776,1.0
0.816,0.816,1.0
0.857,0.857,1.0
0.898,0.898,1.0
0.939,0.939,1.0
0.98,0.98,1.0
1.02,1.02,1.0
1.061,1.061,1.0
1.102,1.102,1.0
1.143,1.143,1.0
1.184,1.184,1.0
1.224,1.224,1.0
1.265,1.265,1.0
1.306,1.306,1.0
1.347,1.347,1.0
1.388,1.388,1.0
1.429,1.429,1.0
1.469,1.469,1.0
1.51,1.51,1.0
1.551,1.551,1.0
1.592,1.592,1.0
1.633,1.633,1.0
1.673,1.673,1.0
1.714,1.714,1.0
1.755,1.755,1.0
1.796,1.796,1.0
1.837,1.837,1.0
1.878,1.878,1.0
1.918,1.918,1.0
1.959,1.959,1.0
2.0,2.0,1.0
