X,Y,Z
0.0,0.0,1.0
0.041,0.041,1.041
0.082,0.082,1.082
0.122,0.122,1.122
0.163,0.163,1.163
0.204,0.204,1.204
0.245,0.245,1.245
0.286,0.286,1.286
0.327,0.327,1.327
0.367,0.367,1.367
0.408,0.408,1.408
0.449,0.449,1.449
0.49,0.49,1.49
0.531,0.531,1.531
0.571,0.571,1.571
0.612,0.612,1.612
0.653,0.653,1.653
0.694,0.694,1.694
0.735,0.735,1.735
0.776,0.776,1.776
0.816,0.816,1.816
0.857,0.857,1.857
0.898,0.898,1.898
0.939,0.939,1.939
0.98,0.98,1.98
1.02,1.02,2.02
1.061,1.061,2.061
1.102,1.102,2.102
1.143,1.143,2.143
1.184,1.184,2.184
1.224,1.224,2.224
1.265,1.265,2.265
1.306,1.306,2.306
1.347,1.347,2.347
1.388,1.388,2.388
1.429,1.429,2.429
1.469,1.469,2.469
1.51,1.51,2.51
1.551,1.551,2.551
1.592,1.592,2.592
1.633,1.633,2.633
1.673,1.673,2.673
1.714,1.714,2.714
1.755,1.755,2.755
1.796,1.796,2.796
1.837,1.837,2.837
1.878,1.878,2.878
1.918,1.918,2.918
1.959,1.959,2.959
2.0,2.0,3.0
