X,Y,Z
0.0,0.0,1.0
0.367,0.271,1.0
0.722,0.505,1.0
1.053,0.671,1.0
1.347,0.747,1.0
1.596,0.721,1.0
1.79,0.599,1.0
1.924,0.395,1.0
1.991,0.138,1.0
1.991,-0.138,1.0
1.924,-0.395,1.0
1.79,-0.599,1.0
1.596,-0.721,1.0
1.347,-0.747,1.0
1.053,-0.671,1.0
0.722,-0.505,1.0
0.367,-0.271,1.0
0.0,-0.0,1.0
-0.367,0.271,1.0
-0.722,0.505,1.0
-1.053,0.671,1.0
-1.347,0.747,1.0
-1.596,0.721,1.0
-1.79,0.599,1.0
-1.924,0.395,1.0
-1.991,0.138,1.0
-1.991,-0.138,1.0
-1.924,-0.395,1.0
-1.79,-0.599,1.0
-1.596,-0.721,1.0
-1.347,-0.747,1.0
-1.053,-0.671,1.0
-0.722,-0.505,1.0
-0.367,-0.271,1.0
-0.0,-0.0,1.0
