X,Y,Z
0.0,0.0,1.0
0.063,0.158,1.0
0.127,0.314,1.0
0.189,0.465,1.0
0.251,0.608,1.0
0.312,0.741,1.0
0.372,0.863,1.0
0.43,0.97,1.0
0.486,1.062,1.0
0.541,1.137,1.0
0.593,1.194,1.0
0.643,1.231,1.0
0.69,1.249,1.0
0.735,1.246,1.0
0.776,1.224,1.0
0.815,1.181,1.0
0.85,1.12,1.0
0.881,1.041,1.0
0.91,0.945,1.0
0.934,0.833,1.0
0.955,0.709,1.0
0.972,0.573,1.0
0.985,0.428,1.0
0.994,0.275,1.0
0.999,0.119,1.0
1.0,-0.04,1.0
0.997,-0.198,1.0
0.99,-0.352,1.0
0.979,-0.501,1.0
0.964,-0.642,1.0
0.945,-0.773,1.0
0.922,-0.891,1.0
0.896,-0.995,1.0
0.866,-1.083,1.0
0.833,-1.153,1.0
0.796,-1.205,1.0
0.756,-1.237,1.0
0.713,-1.25,1.0
0.667,-1.242,1.0
0.618,-1.215,1.0
0.567,-1.168,1.0
0.514,-1.102,1.0
0.458,-1.018,1.0
0.401,-0.918,1.0
0.342,-0.803,1.0
0.282,-0.676,1.0
0.22,-0.537,1.0
0.158,-0.39,1.0
0.095,-0.237,1.0
0.032,-0.079,1.0
-0.032,0.079,1.0
-0.095,0.237,1.0
-0.158,0.39,1.0
-0.22,0.537,1.0
-0.282,0.676,1.0
-0.342,0.803,1.0
-0.401,0.918,1.0
-0.458,1.018,1.0
-0.514,1.102,1.0
-0.567,1.168,1.0
-0.618,1.215,1.0
-0.667,1.242,1.0
-0.713,1.25,1.0
-0.756,1.237,1.0
-0.796,1.205,1.0
-0.833,1.153,1.0
-0.866,1.083,1.0
-0.896,0.995,1.0
-0.922,0.891,1.0
-0.945,0.773,1.0
-0.964,0.642,1.0
-0.979,0.501,1.0
-0.99,0.352,1.0
-0.997,0.198,1.0
-1.0,0.04,1.0
-0.999,-0.119,1.0
-0.994,-0.275,1.0
-0.985,-0.428,1.0
-0.972,-0.573,1.0
-0.955,-0.709,1.0
-0.934,-0.833,1.0
-0.91,-0.945,1.0
-0.881,-1.041,1.0
-0.85,-1.12,1.0
-0.815,-1.181,1.0
-0.776,-1.224,1.0
-0.735,-1.246,1.0
-0.69,-1.249,1.0
-0.643,-1.231,1.0
-0.593,-1.194,1.0
-0.541,-1.137,1.0
-0.486,-1.062,1.0
-0.43,-0.97,1.0
-0.372,-0.863,1.0
-0.312,-0.741,1.0
-0.251,-0.608,1.0
-0.189,-0.465,1.0
-0.127,-0.314,1.0
-0.063,-0.158,1.0
-0.0,-0.0,1.0
