X,Y,Z
0.0,0.0,1.0
-0.008,0.251,1.011
-0.032,0.486,1.044
-0.072,0.69,1.097
-0.126,0.85,1.165
-0.195,0.955,1.246
-0.276,0.999,1.333
-0.369,0.979,1.422
-0.473,0.896,1.505
-0.585,0.756,1.579
-0.703,0.567,1.638
-0.826,0.342,1.679
-0.952,0.095,1.698
-1.079,-0.158,1.696
-1.205,-0.401,1.671
-1.327,-0.618,1.625
-1.444,-0.796,1.562
-1.554,-0.922,1.485
-1.655,-0.99,1.4
-1.745,-0.994,1.311
-1.824,-0.934,1.225
-1.889,-0.815,1.147
-1.94,-0.643,1.082
-1.975,-0.43,1.034
-1.995,-0.189,1.006
-1.999,0.063,1.001
-1.987,0.312,1.017
-1.959,0.541,1.056
-1.916,0.735,1.113
-1.858,0.881,1.185
-1.786,0.972,1.267
-1.701,1.0,1.356
-1.606,0.964,1.443
-1.5,0.866,1.525
-1.386,0.713,1.596
-1.266,0.514,1.65
-1.142,0.282,1.686
-1.016,0.032,1.7
-0.889,-0.22,1.691
-0.764,-0.458,1.661
-0.643,-0.667,1.611
-0.528,-0.833,1.544
-0.42,-0.945,1.464
-0.321,-0.997,1.378
-0.234,-0.985,1.289
-0.159,-0.91,1.205
-0.097,-0.776,1.129
-0.05,-0.593,1.068
-0.018,-0.372,1.025
-0.002,-0.127,1.003
-0.002,0.127,1.003
-0.018,0.372,1.025
-0.05,0.593,1.068
-0.097,0.776,1.129
-0.159,0.91,1.205
-0.234,0.985,1.289
-0.321,0.997,1.378
-0.42,0.945,1.464
-0.528,0.833,1.544
-0.643,0.667,1.611
-0.764,0.458,1.661
-0.889,0.22,1.691
-1.016,-0.032,1.7
-1.142,-0.282,1.686
-1.266,-0.514,1.65
-1.386,-0.713,1.596
-1.5,-0.866,1.525
-1.606,-0.964,1.443
-1.701,-1.0,1.356
-1.786,-0.972,1.267
-1.858,-0.881,1.185
-1.916,-0.735,1.113
-1.959,-0.541,1.056
-1.987,-0.312,1.017
-1.999,-0.063,1.001
-1.995,0.189,1.006
-1.975,0.43,1.034
-1.94,0.643,1.082
-1.889,0.815,1.147
-1.824,0.934,1.225
-1.745,0.994,1.311
-1.655,0.99,1.4
-1.554,0.922,1.485
-1.444,0.796,1.562
-1.327,0.618,1.625
-1.205,0.401,1.671
-1.079,0.158,1.696
-0.952,-0.095,1.698
-0.826,-0.342,1.679
-0.703,-0.567,1.638
-0.585,-0.756,1.579
-0.473,-0.896,1.505
-0.369,-0.979,1.422
-0.276,-0.999,1.333
-0.195,-0.955,1.246
-0.126,-0.85,1.165
-0.072,-0.69,1.097
-0.032,-0.486,1.044
-0.008,-0.251,1.011
0.0,-0.0,1.0
