X,Y,Z
0.0,0.0,1.0
0.133,0.0,1.0
0.267,0.0,1.0
0.4,0.0,1.0
0.5,0.0,1.0
0.582,0.0,1.007
0.662,0.0,1.027
0.737,0.0,1.06
0.806,0.0,1.104
0.866,0.0,1.16
0.917,0.0,1.224
0.957,0.0,1.297
0.984,0.0,1.374
0.998,0.0,1.455
0.999,0.0,1.537
0.986,0.0,1.618
0.96,0.0,1.696
0.921,0.0,1.769
0.872,0.0,1.834
0.812,0.0,1.891
0.744,0.0,1.937
0.669,0.0,1.971
0.59,0.0,1.992
0.508,0.0,2.0
0.5,0.0,2.0
0.418,0.0,1.993
0.338,0.0,1.973
0.262,0.0,1.94
0.193,0.0,1.895
0.132,0.0,1.839
0.081,0.0,1.773
0.042,0.0,1.701
0.015,0.0,1.623
0.002,0.0,1.541
0.002,0.0,1.459
0.015,0.0,1.377
0.042,0.0,1.299
0.081,0.0,1.227
0.132,0.0,1.161
0.193,0.0,1.105
0.262,0.0,1.06
0.338,0.0,1.027
0.418,0.0,1.007
0.5,0.0,1.0
0.6,0.0,1.0
0.712,0.0,1.0
0.825,0.0,1.0
0.938,0.0,1.0
1.05,0.0,1.0
1.162,0.0,1.0
1.275,0.0,1.0
1.388,0.0,1.0
1.5,0.0,1.0
