X,Y,Z
0.0,0.0,1.0
0.032,0.063,1.0
0.064,0.123,1.0
0.096,0.174,1.0
0.128,0.214,1.0
0.16,0.24,1.0
0.192,0.25,1.0
0.224,0.244,1.0
0.256,0.222,1.0
0.289,0.185,1.0
0.321,0.136,1.0
0.353,0.079,1.0
0.385,0.016,1.0
0.417,-0.048,1.0
0.449,-0.108,1.0
0.481,-0.162,1.0
0.513,-0.205,1.0
0.545,-0.235,1.0
0.577,-0.249,1.0
0.609,-0.247,1.0
0.641,-0.229,1.0
0.673,-0.195,1.0
0.705,-0.15,1.0
0.737,-0.094,1.0
0.769,-0.032,1.0
0.801,0.032,1.0
0.833,0.094,1.0
0.866,0.15,1.0
0.898,0.195,1.0
0.93,0.229,1.0
0.962,0.247,1.0
0.994,0.249,1.0
1.026,0.235,1.0
1.058,0.205,1.0
1.09,0.162,1.0
1.122,0.108,1.0
1.154,0.048,1.0
1.186,-0.016,1.0
1.218,-0.079,1.0
1.25,-0.136,1.0
1.282,-0.185,1.0
1.314,-0.222,1.0
1.346,-0.244,1.0
1.378,-0.25,1.0
1.411,-0.24,1.0
1.443,-0.214,1.0
1.475,-0.174,1.0
1.507,-0.123,1.0
1.539,-0.063,1.0
1.571,-0.0,1.0
