X,Y,Z
0.0,0.0,1.0
0.031,0.188,1.037
0.061,0.348,1.141
0.092,0.457,1.298
0.122,0.5,1.484
0.153,0.469,1.673
0.184,0.37,1.836
0.214,0.217,1.95
0.245,0.032,1.999
0.276,-0.158,1.975
0.306,-0.324,1.881
0.337,-0.443,1.731
0.367,-0.498,1.548
0.398,-0.479,1.358
0.429,-0.391,1.188
0.459,-0.245,1.064
0.49,-0.064,1.004
0.52,0.127,1.016
0.551,0.299,1.099
0.582,0.428,1.241
0.612,0.494,1.42
0.643,0.487,1.611
0.673,0.41,1.786
0.704,0.273,1.919
0.735,0.096,1.991
0.765,-0.096,1.991
0.796,-0.273,1.919
0.827,-0.41,1.786
0.857,-0.487,1.611
0.888,-0.494,1.42
0.918,-0.428,1.241
0.949,-0.299,1.099
0.98,-0.127,1.016
1.01,0.064,1.004
1.041,0.245,1.064
1.071,0.391,1.188
1.102,0.479,1.358
1.133,0.498,1.548
1.163,0.443,1.731
1.194,0.324,1.881
1.224,0.158,1.975
1.255,-0.032,1.999
1.286,-0.217,1.95
1.316,-0.37,1.836
1.347,-0.469,1.673
1.378,-0.5,1.484
1.408,-0.457,1.298
1.439,-0.348,1.141
1.469,-0.188,1.037
1.5,-0.0,1.0
