X,Y,Z
0.0,0.0,1.0
-0.008,0.126,1.01
-0.032,0.25,1.02
-0.071,0.37,1.03
-0.125,0.485,1.04
-0.193,0.591,1.05
-0.275,0.688,1.06
-0.367,0.774,1.07
-0.47,0.848,1.081
-0.581,0.908,1.091
-0.699,0.954,1.101
-0.822,0.984,1.111
-0.947,0.999,1.121
-1.074,0.997,1.131
-1.199,0.98,1.141
-1.321,0.947,1.151
-1.438,0.899,1.161
-1.548,0.837,1.171
-1.649,0.761,1.181
-1.74,0.673,1.191
-1.819,0.574,1.201
-1.885,0.466,1.211
-1.936,0.351,1.221
-1.973,0.23,1.232
-1.994,0.105,1.242
-2.0,-0.021,1.252
-1.989,-0.147,1.262
-1.963,-0.271,1.272
-1.921,-0.39,1.282
-1.864,-0.503,1.292
-1.794,-0.608,1.302
-1.711,-0.703,1.312
-1.616,-0.787,1.322
-1.512,-0.859,1.332
-1.4,-0.917,1.342
-1.281,-0.96,1.352
-1.157,-0.988,1.362
-1.032,-0.999,1.372
-0.905,-0.996,1.383
-0.78,-0.976,1.393
-0.659,-0.94,1.403
-0.543,-0.89,1.413
-0.435,-0.825,1.423
-0.335,-0.747,1.433
-0.246,-0.657,1.443
-0.169,-0.557,1.453
-0.106,-0.447,1.463
-0.056,-0.331,1.473
-0.022,-0.209,1.483
-0.004,-0.084,1.493
-0.001,0.042,1.503
-0.014,0.168,1.513
-0.043,0.291,1.523
-0.088,0.409,1.534
-0.147,0.521,1.544
-0.219,0.625,1.554
-0.304,0.718,1.564
-0.4,0.8,1.574
-0.506,0.87,1.584
-0.62,0.925,1.594
-0.739,0.965,1.604
-0.863,0.991,1.614
-0.989,1.0,1.624
-1.116,0.993,1.634
-1.24,0.971,1.644
-1.361,0.933,1.654
-1.475,0.88,1.664
-1.583,0.813,1.674
-1.681,0.733,1.685
-1.768,0.641,1.695
-1.842,0.539,1.705
-1.904,0.428,1.715
-1.95,0.311,1.725
-1.982,0.189,1.735
-1.998,0.063,1.745
-1.998,-0.063,1.755
-1.982,-0.189,1.765
-1.95,-0.311,1.775
-1.904,-0.428,1.785
-1.842,-0.539,1.795
-1.768,-0.641,1.805
-1.681,-0.733,1.815
-1.583,-0.813,1.826
-1.475,-0.88,1.836
-1.361,-0.933,1.846
-1.24,-0.971,1.856
-1.116,-0.993,1.866
-0.989,-1.0,1.876
-0.863,-0.991,1.886
-0.739,-0.965,1.896
-0.62,-0.925,1.906
-0.506,-0.87,1.916
-0.4,-0.8,1.926
-0.304,-0.718,1.936
-0.219,-0.625,1.946
-0.147,-0.521,1.956
-0.088,-0.409,1.966
-0.043,-0.291,1.977
-0.014,-0.168,1.987
-0.001,-0.042,1.997
-0.004,0.084,2.007
-0.022,0.209,2.017
-0.056,0.331,2.027
-0.106,0.447,2.037
-0.169,0.557,2.047
-0.246,0.657,2.057
-0.335,0.747,2.067
-0.435,0.825,2.077
-0.543,0.89,2.087
-0.659,0.94,2.097
-0.78,0.976,2.107
-0.905,0.996,2.117
-1.032,0.999,2.128
-1.157,0.988,2.138
-1.281,0.96,2.148
-1.4,0.917,2.158
-1.512,0.859,2.168
-1.616,0.787,2.178
-1.711,0.703,2.188
-1.794,0.608,2.198
-1.864,0.503,2.208
-1.921,0.39,2.218
-1.963,0.271,2.228
-1.989,0.147,2.238
-2.0,0.021,2.248
-1.994,-0.105,2.258
-1.973,-0.23,2.268
-1.936,-0.351,2.279
-1.885,-0.466,2.289
-1.819,-0.574,2.299
-1.74,-0.673,2.309
-1.649,-0.761,2.319
-1.548,-0.837,2.329
-1.438,-0.899,2.339
-1.321,-0.947,2.349
-1.199,-0.98,2.359
-1.074,-0.997,2.369
-0.947,-0.999,2.379
-0.822,-0.984,2.389
-0.699,-0.954,2.399
-0.581,-0.908,2.409
-0.47,-0.848,2.419
-0.367,-0.774,2.43
-0.275,-0.688,2.44
-0.193,-0.591,2.45
-0.125,-0.485,2.46
-0.071,-0.37,2.47
-0.032,-0.25,2.48
-0.008,-0.126,2.49
0.0,-0.0,2.5
