X,Y,Z
0.0,0.0,1.0
0.02,0.005,1.0
0.035,0.02,1.0
0.044,0.042,1.0
0.043,0.069,1.0
0.03,0.096,1.0
0.006,0.121,1.0
-0.029,0.138,1.0
-0.072,0.145,1.0
-0.119,0.137,1.0
-0.166,0.115,1.0
-0.209,0.076,1.0
-0.241,0.023,1.0
-0.259,-0.041,1.0
-0.259,-0.113,1.0
-0.238,-0.187,1.0
-0.196,-0.257,1.0
-0.133,-0.317,1.0
-0.052,-0.36,1.0
0.043,-0.381,1.0
0.144,-0.377,1.0
0.246,-0.346,1.0
0.34,-0.286,1.0
0.42,-0.2,1.0
0.476,-0.092,1.0
0.504,0.032,1.0
0.499,0.164,1.0
0.459,0.295,1.0
0.384,0.416,1.0
0.277,0.516,1.0
0.143,0.589,1.0
-0.01,0.626,1.0
-0.172,0.623,1.0
-0.333,0.577,1.0
-0.482,0.49,1.0
-0.607,0.363,1.0
-0.698,0.205,1.0
-0.747,0.024,1.0
-0.749,-0.169,1.0
-0.7,-0.361,1.0
-0.602,-0.539,1.0
-0.459,-0.69,1.0
-0.278,-0.802,1.0
-0.069,-0.866,1.0
0.154,-0.875,1.0
0.378,-0.827,1.0
0.586,-0.721,1.0
0.765,-0.563,1.0
0.9,-0.36,1.0
0.982,-0.125,1.0
1.002,0.128,1.0
0.957,0.383,1.0
0.846,0.623,1.0
0.675,0.831,1.0
0.453,0.992,1.0
0.193,1.094,1.0
-0.09,1.128,1.0
-0.377,1.088,1.0
-0.649,0.976,1.0
-0.888,0.795,1.0
-1.077,0.555,1.0
-1.202,0.271,1.0
-1.252,-0.04,1.0
-1.221,-0.359,1.0
-1.109,-0.664,1.0
-0.921,-0.936,1.0
-0.667,-1.155,1.0
-0.361,-1.305,1.0
-0.022,-1.374,1.0
0.329,-1.355,1.0
0.668,-1.246,1.0
0.973,-1.054,1.0
1.224,-0.786,1.0
1.401,-0.46,1.0
1.492,-0.095,1.0
1.488,0.287,1.0
1.386,0.66,1.0
1.192,1.0,1.0
0.914,1.284,1.0
0.57,1.491,1.0
0.179,1.606,1.0
-0.233,1.62,1.0
-0.64,1.528,1.0
-1.015,1.334,1.0
-1.334,1.049,1.0
-1.573,0.688,1.0
-1.716,0.275,1.0
-1.75,-0.167,1.0
-1.671,-0.608,1.0
-1.481,-1.02,1.0
-1.191,-1.374,1.0
-0.816,-1.647,1.0
-0.381,-1.819,1.0
0.089,-1.877,1.0
0.564,-1.813,1.0
1.012,-1.631,1.0
1.404,-1.338,1.0
1.712,-0.953,1.0
1.916,-0.497,1.0
2.0,-0.0,1.0
