X,Y,Z
0.0,0.0,1.0
0.036,0.02,1.041
0.042,0.07,1.082
0.004,0.122,1.122
-0.076,0.145,1.163
-0.171,0.111,1.204
-0.244,0.016,1.245
-0.257,-0.124,1.286
-0.187,-0.268,1.327
-0.035,-0.366,1.367
0.165,-0.373,1.408
0.36,-0.269,1.449
0.486,-0.063,1.49
0.492,0.199,1.531
0.356,0.447,1.571
0.098,0.604,1.612
-0.226,0.613,1.653
-0.528,0.45,1.694
-0.721,0.14,1.735
-0.736,-0.244,1.776
-0.549,-0.604,1.816
-0.191,-0.836,1.857
0.255,-0.861,1.898
0.674,-0.653,1.939
0.948,-0.248,1.98
0.987,0.259,2.02
0.762,0.738,2.061
0.314,1.056,2.102
-0.254,1.114,2.143
-0.796,0.876,2.184
-1.162,0.386,2.224
-1.242,-0.242,2.265
-0.995,-0.847,2.306
-0.465,-1.264,2.347
0.221,-1.37,2.388
0.891,-1.117,2.429
1.362,-0.551,2.469
1.498,0.193,2.51
1.243,0.928,2.551
0.644,1.456,2.592
-0.157,1.625,2.633
-0.957,1.373,2.673
-1.545,0.744,2.714
-1.751,-0.112,2.755
-1.505,-0.98,2.796
-0.85,-1.628,2.837
0.06,-1.877,2.878
0.994,-1.64,2.918
1.707,-0.961,2.959
2.0,-0.0,3.0
