X,Y,Z
0.0,0.0,1.0
0.128,0.0,1.008
0.254,0.0,1.033
0.375,0.0,1.073
0.491,0.0,1.129
0.598,0.0,1.199
0.696,0.0,1.282
0.782,0.0,1.377
0.855,0.0,1.482
0.914,0.0,1.595
0.959,0.0,1.715
0.987,0.0,1.84
0.999,0.0,1.968
0.995,0.0,2.096
0.975,0.0,2.223
0.938,0.0,2.345
0.887,0.0,2.463
0.82,0.0,2.572
0.74,0.0,2.672
0.648,0.0,2.761
0.546,0.0,2.838
0.434,0.0,2.901
0.315,0.0,2.949
0.191,0.0,2.982
0.064,0.0,2.998
-0.064,0.0,2.998
-0.191,0.0,2.982
-0.315,0.0,2.949
-0.434,0.0,2.901
-0.546,0.0,2.838
-0.648,0.0,2.761
-0.74,0.0,2.672
-0.82,0.0,2.572
-0.887,0.0,2.463
-0.938,0.0,2.345
-0.975,0.0,2.223
-0.995,0.0,2.096
-0.999,0.0,1.968
-0.987,0.0,1.84
-0.959,0.0,1.715
-0.914,0.0,1.595
-0.855,0.0,1.482
-0.782,0.0,1.377
-0.696,0.0,1.282
-0.598,0.0,1.199
-0.491,0.0,1.129
-0.375,0.0,1.073
-0.254,0.0,1.033
-0.128,0.0,1.008
-0.0,0.0,1.0
