X,Y,Z
0.0,0.0,1.0
0.02,0.0,1.0
0.04,0.0,1.0
0.061,0.0,1.0
0.081,0.0,1.0
0.101,0.0,1.0
0.121,0.0,1.0
0.141,0.0,1.0
0.162,0.0,1.0
0.182,0.0,1.0
0.202,0.0,1.0
0.222,0.0,1.0
0.242,0.0,1.0
0.263,0.0,1.0
0.283,0.0,1.0
0.303,0.0,1.0
0.323,0.0,1.0
0.343,0.0,1.0
0.364,0.0,1.0
0.384,0.0,1.0
0.404,0.0,1.0
0.424,0.0,1.0
0.444,0.0,1.0
0.465,0.0,1.0
0.485,0.0,1.0
0.505,0.0,1.0
0.525,0.0,1.0
0.545,0.0,1.0
0.566,0.0,1.0
0.586,0.0,1.0
0.606,0.0,1.0
0.626,0.0,1.0
0.646,0.0,1.0
0.667,0.0,1.0
0.687,0.0,1.0
0.707,0.0,1.0
0.727,0.0,1.0
0.747,0.0,1.0
0.768,0.0,1.0
0.788,0.0,1.0
0.808,0.0,1.0
0.828,0.0,1.0
0.848,0.0,1.0
0.869,0.0,1.0
0.889,0.0,1.0
0.909,0.0,1.0
0.929,0.0,1.0
0.949,0.0,1.0
0.97,0.0,1.0
0.99,0.0,1.0
1.01,0.0,1.0
1.03,0.0,1.0
1.051,0.0,1.0
1.071,0.0,1.0
1.091,0.0,1.0
1.111,0.0,1.0
1.131,0.0,1.0
1.152,0.0,1.0
1.172,0.0,1.0
1.192,0.0,1.0
1.212,0.0,1.0
1.232,0.0,1.0
1.253,0.0,1.0
1.273,0.0,1.0
1.293,0.0,1.0
1.313,0.0,1.0
1.333,0.0,1.0
1.354,0.0,1.0
1.374,0.0,1.0
1.394,0.0,1.0
1.414,0.0,1.0
1.434,0.0,1.0
1.455,0.0,1.0
1.475,0.0,1.0
1.495,0.0,1.0
1.515,0.0,1.0
1.535,0.0,1.0
1.556,0.0,1.0
1.576,0.0,1.0
1.596,0.0,1.0
1.616,0.0,1.0
1.636,0.0,1.0
1.657,0.0,1.0
1.677,0.0,1.0
1.697,0.0,1.0
1.717,0.0,1.0
1.737,0.0,1.0
1.758,0.0,1.0
1.778,0.0,1.0
1.798,0.0,1.0
1.818,0.0,1.0
1.838,0.0,1.0
1.859,0.0,1.0
1.879,0.0,1.0
1.899,0.0,1.0
1.919,0.0,1.0
1.939,0.0,1.0
1.96,0.0,1.0
1.98,0.0,1.0
2.0,0.0,1.0
